corpus_names	sent_id	w	span	node	sent_match
ind_news_2008_300K	6320	beckham	r1	membesarkan	6320 Mantan bos United, Bryan Robson, mengakui bahwa Alex Ferguson punya andil membesarkan Beckham.
ind_news_2008_300K	18969	hati	r1	membesarkan	"18969 Ini sangat membesarkan hati dan sangat positif,"" kata Ban."
ind_news_2008_300K	19596	anak	r1	membesarkan	19596 Saat Stanley pergi ke medan laga Perang Dunia II, Madelyn membesarkan anak semata wayang mereka, Stanley Ann Dunham, dengan bekerja di pabrik perakitan pesawat pembom B-29 di Wichita, Kansas.
ind_news_2008_300K	24539	partai	r1	membesarkan	24539 Menurut dia, bukan hanya Muchdi PR, tokoh Gerindra lainnya seperti Prabowo Subianto dan sejumlah Ketua DPP juga tidak mau dicalonkan sebagai anggota legislatif dengan alasan ingin berkonsentrasi membesarkan partai yang baru berusia sekitar lima bulan itu.
ind_news_2008_300K	26320	pkb	r1	membesarkan	"26320 ""Keberadaan Dewan Mustasyar ini untuk membuat partai lebih demokratis selain memberikan ruang yang layak pada para kyai yang selama ini membesarkan PKB,"" kata ketua sidang komisi A, Helmy Faisal Zaini."
ind_news_2008_300K	28804	hati	r1	membesarkan	28804 Masalahnya, kemunculan Palin telah membesarkan hati sejumlah konservatif di Hollywood seperti Robert Davi yang membintangi film garapan sutradara David Zucker yang nanti segera tayang, American Carol.
ind_news_2008_300K	29286	jolie	r1	membesarkan	29286 Marcheline Bertrand membesarkan Jolie dan saudara laki-lakinya, James Haven, setelah bercerai dengan ayah mereka, aktor Jon Voight, ketika Jolie masih kanak-kanak.
ind_news_2008_300K	29839	partai	r1	membesarkan	"29839 ""Saya dipilih kongres PAN bukan untuk presiden, tetapi membesarkan partai."
ind_news_2008_300K	33316	sean	r1	membesarkan	33316 Diserbu fotografer Mantan suami Spears, Kevin Federline oleh pengadilan diberikan hak utama untuk membesarkan Sean Preston, dua tahun, dan Jayden James, satu tahun, pada bulan Oktober.
ind_news_2008_300K	40301	kembar	r1	membesarkan	40301 Namun kini suami istri Perry harus membesarkan kembar tiga yang dikatakan oleh para dokter sebagai kasus satu dalam 10 juta.
ind_news_2008_300K	42235	hati	r1	membesarkan	42235 Maka dari itu, KPU berusaha membesarkan hati staf KPU dengan menambah rasa aman.
ind_news_2008_300K	43892	mutu	r1	membesarkan	43892 Nenek tersebut adalah sosok yang membesarkan Mutu hampir sepanjang masa kecilnya di Calinesti, suatu kota kecil yang berjarak 150 kilometer dair Bukares.
ind_news_2008_300K	48904	anak	r1	membesarkan	48904 Kendati demikian, tidak boleh melupakan kodratnya sebagai ibu yang melahirkan, merawat dan membesarkan anak.
ind_news_2008_300K	58802	jolie	r1	membesarkan	58802 Marcheline Bertrand membesarkan Jolie dan adiknya James Haven dari kecil setelah ia bercerai dari ayah mereka, aktor John Voight.
ind_news_2008_300K	59393	partai	r1	membesarkan	59393 Oleh karena itu, Muhaimin mengajak kader PKB bersatu dan bersama-sama membesarkan partai dan melupakan pertikaian.
ind_news_2008_300K	71665	dirinya	r1	membesarkan	"71665 Tapi, kalau dia cinta PKB dan hormati Gus Dur (deklarator PKB) yang membesarkan dirinya, mestinya tidak dilakukan,"" katanya lagi."
